fulldate,date,post_frequency,year,month,day,hour,dow,Wkend,dowNum,permalink,post,theme,type,countries,posted,total_reach,paid_reach,viral_reach,impressions,paid_impressions,engaged_users,engagement_rate,comments,likes,shares,link_clicks,photo_views,video_plays,other_clicks,interactions
21-Jul,21-Jul,1,2013,7,21,9,Sun,1,1,https://www.facebook.com/BananaRepublic/posts/10151717147699076:0,Sunday brunch style » http://brstyl.es/16ERFHh,,Photo,,7/21/2013 9:00,131648,0,5190,244573,0,7756,0.06,54,2107,78,252,5268,,1776,2239
22-Jul,22-Jul,1,2013,7,22,14,Mon,0,2,https://www.facebook.com/BananaRepublic/posts/10151720675054076:0,Guys—try our wrinkle-free shirts and pants in 100% cotton for a reliably polished impression http://brstyl.es/1dQupoy,,Photo,,7/22/2013 14:30,52096,0,1001,108611,0,3154,0.06,4,397,26,32,2478,,463,427
23-Jul,23-Jul,2,2013,7,23,9,Tue,0,3,https://www.facebook.com/BananaRepublic/posts/10151722623699076:0,Get your hands on the British label beloved by the royals & that famous blue dress worn by the Duchess of Cambridge (read: royal engagement announcement)!   The Banana Republic Issa London Collection arrives August 8th.,,Photo,,7/23/2013 9:35,116608,0,9724,218045,0,7064,0.06,98,1246,131,4,5536,,2680,1475
23-Jul,23-Jul,2,2013,7,23,16,Tue,0,3,https://www.facebook.com/BananaRepublic/posts/10151723331214076:0,Summer hair solution: C. from our Design team dresses up a low bun with our Round Barrette! http://brstyl.es/1dTu4Bn,,Photo,,7/23/2013 16:51,80832,0,1388,171158,0,3476,0.04,21,717,35,107,2159,,907,773
24-Jul,24-Jul,2,2013,7,24,9,Wed,0,4,https://www.facebook.com/BananaRepublic/posts/10151724836034076,"ELLE EXCLUSIVE—Creative Director, Simon Kneen talks all things Issa London & shares inspiration behind the upcoming collection",,Link,,7/24/2013 9:40,104896,0,671,237762,0,2364,0.02,11,194,18,1680,,,684,223
24-Jul,24-Jul,2,2013,7,24,15,Wed,0,4,https://www.facebook.com/BananaRepublic/posts/10151725518634076:0,The season’s must-have: shoes with a flash of gold at the heel http://brstyl.es/12MeKBM,,Photo,,7/24/2013 15:01,86784,0,1822,183839,0,4240,0.05,32,997,44,152,2742,,1352,1073
25-Jul,25-Jul,1,2013,7,25,11,Thu,0,5,https://www.facebook.com/photo.php?v=10151727642344076,The countdown is on! Our royally-inspired collaboration debuts Aug. 8th—who’s excited?,,Video,,7/25/2013 11:48,163456,0,15200,337388,0,6804,0.04,38,809,118,4,,5836,2556,965
26-Jul,26-Jul,2,2013,7,26,11,Fri,0,6,https://www.facebook.com/BananaRepublic/posts/10151729677269076:0,SPOTTED: Naomi Watts (with her pup Bob in NYC) wearing a Banana Republic Issa London wrap dress.  Collection debuts August 8th!,,Photo,,7/26/2013 11:37,127808,0,7900,238594,0,11392,0.09,65,1974,84,22,8912,,2416,2123
26-Jul,26-Jul,2,2013,7,26,14,Fri,0,6,https://www.facebook.com/BananaRepublic/posts/10151730113374076:0,"D. on our sourcing team dons the Digby wingtip, now in the perfect Burgundy for fall  http://brstyl.es/18HQCrW",,Photo,,7/26/2013 14:51,73088,0,1071,160178,0,2988,0.04,28,698,31,67,1940,,678,757
27-Jul,27-Jul,1,2013,7,27,12,Sat,1,7,https://www.facebook.com/BananaRepublic/posts/10151732213404076:0,Calypso Necklace—instant impact and on-trend appeal http://brstyl.es/18HRooX,,Photo,,7/27/2013 12:30,98144,0,3328,194122,0,4638,0.05,43,1637,68,126,2576,,1226,1748
28-Jul,28-Jul,1,2013,7,28,9,Sun,1,1,https://www.facebook.com/BananaRepublic/posts/10151733938519076:0,<3 Sunday style inspiration http://brstyl.es/1altkZB,,Photo,,7/28/2013 9:00,94016,0,2598,180200,0,5420,0.06,15,1274,51,94,3870,,1076,1340
29-Jul,29-Jul,1,2013,7,29,14,Mon,0,2,https://www.facebook.com/BananaRepublic/posts/10151736716059076:0,Weekly weigh-in: which look would you wear to the office? http://brstyl.es/160a2ma,,Photo,,7/29/2013 14:30,92832,0,1575,204847,0,3950,0.04,67,695,36,58,2818,,1384,798
30-Jul,30-Jul,1,2013,7,30,13,Tue,0,3,https://www.facebook.com/photo.php?v=10100999664107026,Model Jessica Hart breaks down the Queen’s Guards and dances in our design collab frocks—which dress from this video do you love most?  (Coming Aug. 8th!),,Video,,7/30/2013 13:16,148480,0,13480,307398,0,5480,0.04,56,539,112,15,,4670,2018,707
31-Jul,31-Jul,1,2013,7,31,14,Wed,0,4,https://www.facebook.com/BananaRepublic/posts/10151741011539076:0,Perfect for the office: neutrals paired with a pop of color http://brstyl.es/1ebUDlu,,Photo,,7/31/2013 14:30,116736,0,3462,230978,0,6704,0.06,24,1478,64,158,5008,,1336,1566
1-Aug,1-Aug,1,2013,8,1,15,Thu,0,5,https://www.facebook.com/BananaRepublic/posts/10151743295519076:0,Annie of Stylish Petite wears our Hampton-Fit Dot Crop Pant with pops of color http://brstyl.es/14m793j,,Photo,,8/1/2013 15:04,118528,0,3366,246995,0,5562,0.05,58,1660,59,211,2764,,2068,1777
2-Aug,2-Aug,2,2013,8,2,13,Fri,0,6,https://www.facebook.com/BananaRepublic/posts/10151745116114076:0,"Bay Area Fans: as the official formal wear supplier of the Oracle Team USA, we invite you to participate in our Instagram contest for a chance to win a tour of Pier80!*",,Photo,,8/2/2013 13:38,10556,0,92,16534,0,1751,0.17,1,28,1,,1720,,44,30
2-Aug,2-Aug,2,2013,8,2,14,Fri,0,6,https://www.facebook.com/BananaRepublic/posts/10151745203049076:0,Wow-worthy wedges we love http://brstyl.es/12MAxP9,,Photo,,8/2/2013 14:30,61792,0,1359,130031,0,3124,0.05,31,735,39,92,2071,,777,805
3-Aug,3-Aug,1,2013,8,3,12,Sat,1,7,https://www.facebook.com/BananaRepublic/posts/10151747415204076:0,"Make waves in always-right stripes, a perennial favorite & other maritime-inspired styles http://brstyl.es/13tHza3",,Photo,,8/3/2013 12:30,106880,0,2281,212465,0,5812,0.05,38,1231,73,118,4294,,1136,1342
4-Aug,4-Aug,1,2013,8,4,9,Sun,1,1,https://www.facebook.com/BananaRepublic/posts/10151749163679076:0,Sunday 'funday' attire http://brstyl.es/160a2ma,,Photo,,8/4/2013 9:30,137856,0,6152,263809,0,9488,0.07,45,2390,98,360,6472,,2436,2533
6-Aug,6-Aug,1,2013,8,6,14,Tue,0,3,https://www.facebook.com/BananaRepublic/posts/10151754885094076:0,Spotted: #BRxIssa  MINI USA on the streets of NYC. London is definitely calling.  The Banana Republic Issa London Collection arrives Aug 8th!,,Photo,,8/6/2013 14:17,85888,0,6940,163350,0,4098,0.05,46,1751,91,19,1927,,1187,1888
7-Aug,7-Aug,2,2013,8,7,9,Wed,0,4,https://www.facebook.com/BananaRepublic/posts/10151756195244076:0,It’s almost here! Who’s excited to shop #BRxIssa tomorrow? http://brstyl.es/1cDua2m   (image courtesy of Marie Claire),,Photo,,8/7/2013 9:04,133824,0,12004,271157,0,7036,0.05,120,1709,79,314,3364,,3220,1908
7-Aug,7-Aug,2,2013,8,7,16,Wed,0,4,https://www.facebook.com/photo.php?v=10151756889244076,Hop across the pond with us & go behind the scenes of the Banana Republic Issa London press event--collection arrives tomorrow!,,Video,,8/7/2013 16:36,104928,0,7972,222401,0,3586,0.03,67,468,74,12,,2836,1584,609
8-Aug,8-Aug,2,2013,8,8,6,Thu,0,5,https://www.facebook.com/BananaRepublic/posts/10151757990464076:0,"Say hello to the Banana Republic Issa London Collection, now available in stores & online! http://brstyl.es/195BzVC",,Photo,,8/8/2013 6:50,119232,0,5004,236672,0,5480,0.05,67,1119,100,402,2738,,2346,1286
8-Aug,8-Aug,2,2013,8,8,15,Thu,0,5,https://www.facebook.com/BananaRepublic/posts/10151758854519076:0,"We know, we know...the wrap dress you’ve been anticipating was mislabeled as turquoise (& appears that way online). So, we took the dress out for a spin today & can confirm that it’s true-royal-blue.  Available in blue online & in stores: http://brstyl.es/1cyliN4",,Photo,,8/8/2013 15:21,217536,0,13016,457080,0,20992,0.1,222,1501,141,680,13424,,10392,1864
9-Aug,9-Aug,1,2013,8,9,12,Fri,0,6,https://www.facebook.com/BananaRepublic/posts/10151760541544076:0,Channel a safari vibe with the season’s most covetable necklace http://brstyl.es/1ey76QH,,Photo,,8/9/2013 12:16,74816,0,1496,152785,0,3232,0.04,18,883,48,87,2019,,782,949
10-Aug,10-Aug,1,2013,8,10,12,Sat,1,7,https://www.facebook.com/BananaRepublic/posts/10151762396494076:0,Playful prints for the weekend! http://brstyl.es/137wJrN  (#BRxIssa Printed Kimono worn by Krystin of Suburban Faux-Pas),,Photo,,8/10/2013 12:00,89120,0,1791,175783,0,4564,0.05,21,1119,30,170,2662,,1504,1170
11-Aug,11-Aug,1,2013,8,11,10,Sun,1,1,https://www.facebook.com/BananaRepublic/posts/10151764247434076:0,GUYS: step up your style from top to toe http://brstyl.es/17Dq2tu,,Photo,,8/11/2013 10:55,85216,0,637,173176,0,2650,0.03,10,347,13,57,1885,,719,370
12-Aug,12-Aug,1,2013,8,12,12,Mon,0,2,https://www.facebook.com/BananaRepublic/posts/10151766842154076:0,The debut of the #BRxIssa Collection calls for a royally-inspired sweepstakes  Enter to win: http://bit.ly/19m3vIw,,Photo,,8/12/2013 12:10,137600,0,4896,295576,0,7984,0.06,73,1533,76,780,3088,,4224,1682
13-Aug,13-Aug,1,2013,8,13,15,Tue,0,3,https://www.facebook.com/BananaRepublic/posts/10151769393714076:0,SPOTTED: Emmy Rossum wearing the Ceramic Printed Wrap-Tie Dress while out and about in LA http://brstyl.es/1697raP,,Photo,,8/13/2013 15:39,154048,0,1790,324315,0,7524,0.05,33,1150,43,156,5624,,2408,1226
14-Aug,14-Aug,2,2013,8,14,10,Wed,0,4,https://www.facebook.com/BananaRepublic/posts/10151771183139076:0,"""I paired my dress with fuchsia pumps & a statement necklace, but the simplicity of the dress allows you to wear it in so many different ways."" - Classy Girls Wear Pearls  See more: http://bit.ly/15EUhPh",,Photo,,8/14/2013 10:53,177984,0,2428,371609,0,11560,0.07,43,1191,57,336,8520,,3924,1291
14-Aug,14-Aug,2,2013,8,14,18,Wed,0,4,https://www.facebook.com/BananaRepublic/posts/10151771842669076:0,"This just in: ""Fall"" in love with the shades and silhouettes of the season http://brstyl.es/16lTXv3",,Photo,,8/14/2013 18:30,123648,0,3728,242816,0,4632,0.04,51,1256,55,256,2436,,1822,1362
16-Aug,16-Aug,1,2013,8,16,11,Fri,0,6,https://www.facebook.com/BananaRepublic/posts/10151775459409076:0,"CHINOS: 4 distinct fits, each tailored in premium two-ply cotton for softness and durability http://brstyl.es/16UqNl5",,Photo,,8/16/2013 11:37,105184,0,645,214776,0,4120,0.04,9,514,29,72,3224,,802,552
17-Aug,17-Aug,1,2013,8,17,12,Sat,1,7,https://www.facebook.com/BananaRepublic/posts/10151777594719076:0,how does a 'Royal Getaway' for 2 to London sound? http://bit.ly/19m3vIw,,Photo,,8/17/2013 12:30,141952,0,4036,302312,0,6932,0.05,67,1260,93,1080,2678,,3658,1420
18-Aug,18-Aug,1,2013,8,18,12,Sun,1,1,https://www.facebook.com/BananaRepublic/posts/10151780141979076:0,Explore your wild side with always-on-trend animal print scarves from the Banana Republic Issa London Collection http://brstyl.es/14TliCm,,Photo,,8/18/2013 12:30,84288,0,981,177691,0,2789,0.03,10,804,25,66,1583,,788,839
19-Aug,19-Aug,1,2013,8,19,16,Mon,0,2,https://www.facebook.com/BananaRepublic/posts/10151782804619076:0,“This look could go from work to a night out — in major style!” - Katy Atlas of Sugarlaws   See more photos of Katy in her #BRxIssa Ceramic Printed Wrap Dress: http://bit.ly/19Er8fx,,Photo,,8/19/2013 16:23,107424,0,1267,228664,0,4464,0.04,20,937,32,228,2700,,1508,989
20-Aug,20-Aug,1,2013,8,20,14,Tue,0,3,https://www.facebook.com/BananaRepublic/posts/10151784676164076:0,Peruse our newest tops & tees http://brstyl.es/16tDItx,,Photo,,8/20/2013 14:16,96480,0,1169,199721,0,4108,0.04,18,792,33,222,2550,,1518,843
21-Aug,21-Aug,1,2013,8,21,12,Wed,0,4,https://www.facebook.com/BananaRepublic/posts/10151787156324076:0,Amanda de Cadenet of The Conversation revisits her British roots & dishes up a few favorite #BRxIssa selects http://bit.ly/1bTOwTE,,Photo,,8/21/2013 12:30,72000,0,410,157282,0,2942,0.04,9,463,15,78,2047,,902,487
22-Aug,22-Aug,1,2013,8,22,15,Thu,0,5,https://www.facebook.com/BananaRepublic/posts/10151790201114076:0,Raise the style bar in a sharp-cut blazer in a rich color or handsome pattern http://brstyl.es/16AZBah,,Photo,,8/22/2013 15:13,92512,0,2935,196667,0,4048,0.04,46,942,57,82,2780,,918,1045
23-Aug,23-Aug,1,2013,8,23,14,Fri,0,6,https://www.facebook.com/BananaRepublic/posts/10151792146849076,Friday Fun: Textbook’s John Jannuzzi brings our Fall 2013 Collection to life.,,Link,,8/23/2013 14:06,67136,0,205,136530,0,937,0.01,4,129,9,444,,132,311,142
24-Aug,24-Aug,1,2013,8,24,12,Sat,1,7,https://www.facebook.com/BananaRepublic/posts/10151794353584076:0,Saturday Style http://brstyl.es/155Svxs,,Photo,,8/24/2013 12:10,91680,0,2847,183660,0,3712,0.04,31,1182,79,92,2220,,1118,1292
25-Aug,25-Aug,1,2013,8,25,12,Sun,1,1,https://www.facebook.com/BananaRepublic/posts/10151796732964076:0,ladylike shapes in black and white,,Photo,,8/25/2013 12:00,53296,0,2412,104216,0,2676,0.05,20,859,51,8,1673,,588,930
26-Aug,26-Aug,1,2013,8,26,12,Mon,0,2,https://www.facebook.com/BananaRepublic/posts/10151799394459076:0,Perfect Monday Pick-me-up http://brstyl.es/1feH4Cq,,Photo,,8/26/2013 12:19,118272,0,3548,253091,0,5954,0.05,68,1507,66,370,3134,,2484,1641
27-Aug,27-Aug,1,2013,8,27,12,Tue,0,3,https://www.facebook.com/BananaRepublic/posts/10151801621884076:0,Weekday Wardrobe Inspiration—where would you sport this look?  http://brstyl.es/15gypd5,,Photo,,8/27/2013 12:10,69120,0,1177,151498,0,2198,0.03,15,405,15,38,1398,,884,435
28-Aug,28-Aug,1,2013,8,28,16,Wed,0,4,https://www.facebook.com/BananaRepublic/posts/10151804093369076:0,"Fall is just around the corner! Who’s excited for autumn hues, sweaters & lattes?",,Photo,,8/28/2013 16:33,83616,0,4098,158039,0,3416,0.04,35,1676,56,2,1356,,972,1767
29-Aug,29-Aug,2,2013,8,29,13,Thu,0,5,https://www.facebook.com/BananaRepublic/posts/10151805605134076:0,"Ready, set, shop! http://brstyl.es/Z5MUlb",,Photo,,8/29/2013 13:24,60288,0,3554,133096,0,2587,0.04,11,366,60,91,1614,,1110,437
29-Aug,29-Aug,2,2013,8,29,17,Thu,0,5,https://www.facebook.com/BananaRepublic/posts/10151806118879076:0,It’s all about the fit. Shop our top-rated denim http://brstyl.es/16UVoyn,,Photo,,8/29/2013 17:48,62624,0,645,127961,0,2368,0.04,4,531,18,65,1578,,694,553
30-Aug,30-Aug,1,2013,8,30,9,Fri,0,6,https://www.facebook.com/BananaRepublic/posts/10151807149939076:0,Here’s to savoring the last moments of summer.   How will you be spending the weekend?,,Photo,,8/30/2013 9:00,44240,0,1035,78699,0,1692,0.04,9,626,20,1,927,,323,655
31-Aug,31-Aug,1,2013,8,31,12,Sat,1,7,https://www.facebook.com/BananaRepublic/posts/10151809224099076:0,"Last day to enter the 'Royal Getaway' Sweepstakes, good luck! http://bit.ly/19m3vIw",,Photo,,8/31/2013 12:10,102912,0,1333,222447,0,4856,0.05,16,541,46,806,1720,,2862,603
1-Sep,1-Sep,1,2013,9,1,12,Sun,1,1,https://www.facebook.com/BananaRepublic/posts/10151811155119076:0,Sharp Sunday Style http://brstyl.es/17s2Lw3,,Photo,,9/1/2013 12:20,62816,0,2146,127312,0,2467,0.04,33,851,48,82,1350,,738,932
2-Sep,2-Sep,1,2013,9,2,9,Mon,0,2,https://www.facebook.com/BananaRepublic/posts/10151812811174076:0,Timeline Photos,,Photo,,9/2/2013 9:30,39712,0,2012,75948,0,1883,0.05,6,737,49,,1004,,374,792
3-Sep,3-Sep,1,2013,9,3,14,Tue,0,3,https://www.facebook.com/BananaRepublic/posts/10151815610759076:0,"""Like"" if you agree!",,Photo,,9/3/2013 14:18,68352,0,1378,132083,0,6376,0.09,40,562,35,3,5464,,1386,637
4-Sep,4-Sep,1,2013,9,4,12,Wed,0,4,https://www.facebook.com/BananaRepublic/posts/10151817401044076:0,A Sharp Combination http://brstyl.es/17F7Scr,,Photo,,9/4/2013 12:59,60224,0,734,128196,0,2178,0.04,20,551,24,47,1365,,608,595
5-Sep,5-Sep,1,2013,9,5,14,Thu,0,5,https://www.facebook.com/BananaRepublic/posts/10151819459389076:0,"It’s our birthday! For the past 35 years, we've been taking cues from the pioneering, distinctly spirited culture of San Francisco.   To celebrate our roots, we're giving away some SF-inspired goodies. Share your photo for a chance to win! http://bit.ly/17AL5QN",,Photo,,9/5/2013 14:20,50000,0,5344,113199,0,2184,0.04,11,245,30,63,1163,,1052,286
6-Sep,6-Sep,1,2013,9,6,9,Fri,0,6,https://www.facebook.com/BananaRepublic/posts/10151821314364076:0,We <3 flats with chic details for fall http://brstyl.es/17BOQ9Z,,Photo,,9/6/2013 9:38,55616,0,1077,115643,0,2232,0.04,8,646,33,56,1293,,653,687
7-Sep,7-Sep,1,2013,9,7,10,Sat,1,7,https://www.facebook.com/BananaRepublic/posts/10151823836884076:0,Casual Shirts for work or weekend http://brstyl.es/1adLjxJ,,Photo,,9/7/2013 10:30,47152,0,815,99201,0,2120,0.05,10,613,24,37,1295,,627,647
9-Sep,9-Sep,2,2013,9,9,12,Mon,0,2,https://www.facebook.com/BananaRepublic/posts/10151829524289076:0,Animal print: fierce for fall http://brstyl.es/17RffLR,,Photo,,9/9/2013 12:00,50624,0,530,103937,0,1695,0.03,15,340,21,49,1055,,470,376
9-Sep,9-Sep,2,2013,9,9,17,Mon,0,2,https://www.facebook.com/BananaRepublic/posts/10151830128909076:0,Have you tried our new Wildbloom Rouge fragrance? Read Refinery29's review: http://bit.ly/17MsYYg  (image courtesy of MissWhoever You Are),,Photo,,9/9/2013 17:17,42624,0,369,86481,0,1596,0.04,5,298,10,39,1134,,258,313
10-Sep,10-Sep,1,2013,9,10,13,Tue,0,3,https://www.facebook.com/BananaRepublic/posts/10151832060359076:0,Take our super flattering drop-waist dress for a spin http://brstyl.es/14JaTqd,,Photo,,9/10/2013 13:54,100352,0,1506,216177,0,4650,0.05,58,944,41,254,2698,,1966,1043
12-Sep,12-Sep,1,2013,9,12,13,Thu,0,5,https://www.facebook.com/BananaRepublic/posts/10151836236004076:0,"In celebration of our 35th, we teamed up with HonestlyWTF to spotlight some of San Francisco’s most inspiring entrepreneurs.  Meet the gals behind FR?DA SALVADOR shoes: http://bit.ly/17toJQI",,Photo,,9/12/2013 13:52,81664,0,619,173729,0,3298,0.04,2,373,11,100,2418,,1122,386
13-Sep,13-Sep,1,2013,9,13,10,Fri,0,6,https://www.facebook.com/BananaRepublic/posts/10151837920549076:0,Which color would you carry? http://brstyl.es/1e9RLtK,,Photo,,9/13/2013 10:45,53312,0,676,116015,0,2015,0.04,80,399,15,53,1288,,723,494
14-Sep,14-Sep,1,2013,9,14,12,Sat,1,7,https://www.facebook.com/BananaRepublic/posts/10151840133949076:0,SWEEPSTAKES: Snap & share a photo that captures your favorite San Francisco memory for a chance to win! http://bit.ly/17AL5QN,,Photo,,9/14/2013 12:00,27344,0,673,53879,0,1260,0.05,1,91,14,48,1030,,193,106
15-Sep,15-Sep,1,2013,9,15,12,Sun,1,1,https://www.facebook.com/BananaRepublic/posts/10151842737029076:0,Shop fall's finest http://brstyl.es/Z5MUlb,,Photo,,9/15/2013 12:30,69824,0,1670,141665,0,2822,0.04,10,619,24,169,1707,,889,653
17-Sep,17-Sep,2,2013,9,17,12,Tue,0,3,https://www.facebook.com/BananaRepublic/posts/10151847588494076:0,Refinery29 rounded up their 10 favorite Banana Republic go-to bags for fall! http://bit.ly/19b1dpI,,Photo,,9/17/2013 12:06,54064,0,464,118745,0,1860,0.03,5,254,8,97,1153,,560,267
17-Sep,17-Sep,2,2013,9,17,15,Tue,0,3,https://www.facebook.com/BananaRepublic/posts/10151848074249076:0,Shop fall trench coats http://brstyl.es/185QpvV,,Photo,,9/17/2013 15:19,126912,0,3276,248541,0,5262,0.04,35,1463,82,342,2784,,2012,1580
